542.3180860724204, 0.15, 0.0, P, 5, SYN1421, ???
547.2997982872158, 0.15, 0.0, P, 5, SYN1462, ???
574.893542588156, 0.15, 0.0, P, 5, SYN1580, ???
584.9077104163927, 0.15, 0.0, P, 5, SYN1635, ???
504.9010577947926, 0.15, 0.0, P, 5, SYN1281, ???
488.83476023662365, 0.15, 0.0, P, 5, SYN1206, ???
545.0405255007265, 0.15, 0.0, P, 5, SYN1452, ???
551.4102397620785, 0.15, 0.0, P, 5, SYN1482, ???
560.0718121613692, 0.15, 0.0, P, 5, SYN1518, ???
569.7306386233353, 0.15, 0.0, P, 5, SYN1563, ???
521.2301710628342, 0.15, 0.0, P, 5, SYN1335, ???
530.5957719418093, 0.15, 0.0, P, 5, SYN1390, ???
578.483367075378, 0.15, 0.0, P, 5, SYN1608, ???
601.9359583116841, 0.15, 0.0, P, 5, SYN1713, ???
514.7286611420806, 0.15, 0.0, P, 5, SYN1318, ???
445.8110711786232, 0.15, 0.0, P, 5, SYN1024, ???
494.16603523494103, 0.15, 0.0, P, 5, SYN1237, ???
458.2552674463693, 0.15, 0.0, P, 5, SYN1067, ???
485.7450622314228, 0.15, 0.0, P, 5, SYN1178, ???
450.6943170510512, 0.15, 0.0, P, 5, SYN1057, ???
488.7309788402641, 0.15, 0.0, P, 5, SYN1214, ???
606.8556793633172, 0.15, 0.0, P, 5, SYN1740, ???
484.49990033048954, 0.15, 0.0, P, 5, SYN1196, ???
555.5253579634766, 0.15, 0.0, P, 5, SYN1490, ???
504.6746057841685, 0.15, 0.0, P, 5, SYN1278, ???
583.7693829423545, 0.15, 0.0, P, 5, SYN1627, ???
525.5478521206873, 0.15, 0.0, P, 5, SYN1360, ???
594.8872873510859, 0.15, 0.0, P, 5, SYN1663, ???
515.2325887154917, 0.15, 0.0, P, 5, SYN1324, ???
598.8605399106839, 0.15, 0.0, P, 5, SYN1688, ???
569.6415180604433, 0.15, 0.0, P, 5, SYN1562, ???
466.83427518185994, 0.15, 0.0, P, 5, SYN1121, ???
550.5818985746936, 0.15, 0.0, P, 5, SYN1479, ???
461.20590064050333, 0.15, 0.0, P, 5, SYN1102, ???
480.47322311875735, 0.15, 0.0, P, 5, SYN1156, ???
531.7823463652979, 0.15, 0.0, P, 5, SYN1395, ???
574.9491946440548, 0.15, 0.0, P, 5, SYN1581, ???
449.7316445304928, 0.15, 0.0, P, 5, SYN1050, ???
597.4824309085731, 0.15, 0.0, P, 5, SYN1693, ???
571.343324468369, 0.15, 0.0, P, 5, SYN1552, ???
478.01398709176704, 0.15, 0.0, P, 5, SYN1164, ???
612.5896152328249, 0.15, 0.0, P, 5, SYN1753, ???
509.1879952297365, 0.15, 0.0, P, 5, SYN1297, ???
597.3592026933189, 0.15, 0.0, P, 5, SYN1696, ???
443.7605842110958, 0.15, 0.0, P, 5, SYN1030, ???
495.54506990819874, 0.15, 0.0, P, 5, SYN1224, ???
506.96862794426073, 0.15, 0.0, P, 5, SYN1267, ???
484.0189149339554, 0.15, 0.0, P, 5, SYN1195, ???
611.9676973504064, 0.15, 0.0, P, 5, SYN1756, ???
584.3714613934059, 0.15, 0.0, P, 5, SYN1625, ???
584.5888051570482, 0.15, 0.0, P, 5, SYN1634, ???
532.1124816843721, 0.15, 0.0, P, 5, SYN1377, ???
466.8363483499816, 0.15, 0.0, P, 5, SYN1116, ???
461.81866557895813, 0.15, 0.0, P, 5, SYN1105, ???
488.6963009673368, 0.15, 0.0, P, 5, SYN1212, ???
439.46432594453745, 0.15, 0.0, P, 5, SYN1003, ???
489.3976268073412, 0.15, 0.0, P, 5, SYN1217, ???
612.0161409484058, 0.15, 0.0, P, 5, SYN1762, ???
472.3230913618414, 0.15, 0.0, P, 5, SYN1144, ???
546.1967105262, 0.15, 0.0, P, 5, SYN1459, ???
547.7547023384715, 0.15, 0.0, P, 5, SYN1442, ???
489.8433790782787, 0.15, 0.0, P, 5, SYN1218, ???
478.65110716700707, 0.15, 0.0, P, 5, SYN1173, ???
478.32292123167764, 0.15, 0.0, P, 5, SYN1159, ???
590.3251767098104, 0.15, 0.0, P, 5, SYN1659, ???
561.6383913819619, 0.15, 0.0, P, 5, SYN1527, ???
585.2439806399991, 0.15, 0.0, P, 5, SYN1636, ???
483.12193604789815, 0.15, 0.0, P, 5, SYN1187, ???
506.1040353297933, 0.15, 0.0, P, 5, SYN1285, ???
573.8971620081069, 0.15, 0.0, P, 5, SYN1586, ???
590.4967816551936, 0.15, 0.0, P, 5, SYN1640, ???
451.6657334830873, 0.15, 0.0, P, 5, SYN1046, ???
494.15980293614126, 0.15, 0.0, P, 5, SYN1235, ???
515.4215937418846, 0.15, 0.0, P, 5, SYN1326, ???
458.410543343285, 0.15, 0.0, P, 5, SYN1087, ???
580.8367221863526, 0.15, 0.0, P, 5, SYN1597, ???
519.9273211147738, 0.15, 0.0, P, 5, SYN1341, ???
595.1600697470824, 0.15, 0.0, P, 5, SYN1662, ???
578.8614704495612, 0.15, 0.0, P, 5, SYN1607, ???
612.1996505983732, 0.15, 0.0, P, 5, SYN1760, ???
505.2913939738847, 0.15, 0.0, P, 5, SYN1283, ???
583.2327037509034, 0.15, 0.0, P, 5, SYN1629, ???
